NodeLabel,PHILSM
1024,-0.0707105994224548
1025,9.99999997475243e-07
1026,0.070710800588131
5651,-0.141422003507614
5652,-0.0707110017538071
5653,9.99999997475243e-07
1055,-0.0707105994224548
1056,9.99999997475243e-07
1057,0.070710800588131
46,-0.0707105994224548
47,9.99999997475243e-07
48,0.070710800588131
5682,-0.141422003507614
5683,-0.0707110017538071
5684,9.99999997475243e-07
1086,-0.0707105994224548
1087,9.99999997475243e-07
1088,0.070710800588131
5713,-0.141422003507614
5714,-0.0707110017538071
5715,9.99999997475243e-07
1117,-0.0707105994224548
1118,9.99999997475243e-07
1119,0.070710800588131
5744,-0.141422003507614
5745,-0.0707110017538071
5746,9.99999997475243e-07
118,0.070710800588131
119,9.99999997475243e-07
120,-0.0707105994224548
1148,-0.0707105994224548
1149,9.99999997475243e-07
1150,0.070710800588131
5775,-0.141422003507614
5776,-0.0707110017538071
5777,9.99999997475243e-07
1179,-0.0707105994224548
1180,9.99999997475243e-07
1181,0.070710800588131
5806,-0.141422003507614
5807,-0.0707110017538071
5808,9.99999997475243e-07
1210,-0.0707105994224548
1211,9.99999997475243e-07
1212,0.070710800588131
5837,-0.141422003507614
5838,-0.0707110017538071
5839,9.99999997475243e-07
1241,-0.0707105994224548
1242,9.99999997475243e-07
1243,0.070710800588131
5868,-0.141422003507614
5869,-0.0707110017538071
5870,9.99999997475243e-07
1272,-0.0707105994224548
1273,9.99999997475243e-07
1274,0.070710800588131
5899,-0.141422003507614
5900,-0.0707110017538071
5901,9.99999997475243e-07
2338,-0.141422003507614
2339,-0.0707110017538071
2340,9.99999997475243e-07
5930,-0.141422003507614
5931,-0.0707110017538071
5932,9.99999997475243e-07
838,-0.0707105994224548
839,9.99999997475243e-07
840,0.070710800588131
5961,-0.141422003507614
5962,-0.0707110017538071
5963,9.99999997475243e-07
869,-0.0707105994224548
870,9.99999997475243e-07
871,0.070710800588131
2927,-0.141422003507614
2928,-0.0707110017538071
2929,9.99999997475243e-07
900,-0.0707105994224548
901,9.99999997475243e-07
902,0.070710800588131
5527,-0.141422003507614
5528,-0.0707110017538071
5529,9.99999997475243e-07
931,-0.0707105994224548
932,9.99999997475243e-07
933,0.070710800588131
5558,-0.141422003507614
5559,-0.0707110017538071
5560,9.99999997475243e-07
962,-0.0707105994224548
963,9.99999997475243e-07
964,0.070710800588131
5589,-0.141422003507614
5590,-0.0707110017538071
5591,9.99999997475243e-07
993,-0.0707105994224548
994,9.99999997475243e-07
995,0.070710800588131
5620,-0.141422003507614
5621,-0.0707110017538071
5622,9.99999997475243e-07
