time,temperature value,current value
0.001,124.0,0.0
0.0014999444,124.0,0.0
0.0019998889,124.0,1.0
0.0024998333,124.0,2.0
0.0029997778,124.0,4.0
0.0034997222,124.0,6.0
0.0039996666,124.0,9.0
0.0044996111,124.0,13.0
0.0049995555,124.0,25.0
0.0054994999,124.0,27.0
0.0059994444,125.0,34.0
0.0064993888,124.0,46.0
0.0069993333,124.0,48.0
0.0074992777,125.0,57.0
0.0079992221,125.0,59.0
0.0084991666,124.0,69.0
0.008999111,125.0,74.0
0.0094990555,125.0,82.0
0.0099989999,124.0,90.0
0.0104989443,124.0,98.0
0.0109988888,124.0,107.0
0.0114988332,124.0,115.0
0.0119987776,124.0,125.0
0.0124987221,124.0,134.0
0.0129986665,124.0,143.0
0.013498611,124.0,156.0
0.0139985554,124.0,167.0
0.0144984998,125.0,181.0
0.0149984443,125.0,188.0
0.0154983887,124.0,201.0
0.0159983331,125.0,215.0
0.0164982776,125.0,225.0
0.016998222,124.0,238.0
0.0174981665,125.0,252.0
0.0179981109,124.0,267.0
0.0184980553,124.0,280.0
0.0189979998,124.0,290.0
0.0194979442,124.0,305.0
0.0199978887,125.0,318.0
0.0204978331,124.0,334.0
0.0209977775,124.0,348.0
0.021497722,127.0,352.0
0.0219976664,127.0,367.0
0.0224976108,125.0,378.0
0.0229975553,127.0,393.0
0.0234974997,127.0,397.0
0.0239974442,124.0,397.0
0.0244973886,127.0,408.0
0.024997333,125.0,420.0
0.0254972775,124.0,433.0
0.0259972219,125.0,437.0
0.0264971664,125.0,448.0
0.0269971108,124.0,460.0
0.0274970552,125.0,476.0
0.0279969997,124.0,492.0
0.0284969441,127.0,506.0
0.0289968885,125.0,521.0
0.029496833,124.0,523.0
0.0299967774,127.0,544.0
0.0304967219,127.0,557.0
0.0309966663,125.0,562.0
0.0314966107,127.0,571.0
0.0319965552,127.0,584.0
0.0324964996,124.0,596.0
0.032996444,125.0,598.0
0.0334963885,125.0,609.0
0.0339963329,124.0,625.0
0.0344962774,127.0,642.0
0.0349962218,125.0,655.0
0.0354961662,125.0,658.0
0.0359961107,125.0,670.0
0.0364960551,124.0,686.0
0.0369959996,127.0,701.0
0.037495944,127.0,721.0
0.0379958884,125.0,732.0
0.0384958329,129.0,746.0
0.0389957773,129.0,757.0
0.0394957217,125.0,759.0
0.0399956662,129.0,759.0
0.0404956106,127.0,754.0
0.0409955551,125.0,763.0
0.0414954995,127.0,777.0
0.0419954439,127.0,776.0
0.0424953884,127.0,774.0
0.0429953328,129.0,772.0
0.0434952773,127.0,779.0
0.0439952217,129.0,789.0
0.0444951661,129.0,788.0
0.0449951106,129.0,794.0
0.045495055,129.0,805.0
0.0459949994,129.0,816.0
0.0464949439,127.0,823.0
0.0469948883,129.0,821.0
0.0474948328,129.0,842.0
0.0479947772,127.0,864.0
0.0484947216,129.0,879.0
0.0489946661,127.0,892.0
0.0494946105,129.0,892.0
0.049994555,131.0,902.0
0.0504944994,129.0,908.0
0.0509944438,129.0,907.0
0.0514943883,129.0,912.0
0.0519943327,129.0,921.0
0.0524942771,131.0,928.0
0.0529942216,131.0,930.0
0.053494166,129.0,914.0
0.0539941105,131.0,919.0
0.0544940549,129.0,927.0
0.0549939993,129.0,923.0
0.0554939438,131.0,929.0
0.0559938882,129.0,939.0
0.0564938326,131.0,945.0
0.0569937771,133.0,960.0
0.0574937215,131.0,977.0
0.057993666,133.0,1000.0
0.0584936104,133.0,1021.0
0.0589935548,133.0,1012.0
0.0594934993,133.0,1003.0
0.0599934437,133.0,1010.0
0.0604933882,133.0,995.0
0.0609933326,134.0,987.0
0.061493277,134.0,992.0
0.0619932215,133.0,989.0
0.0624931659,136.0,985.0
0.0629931103,134.0,982.0
0.0634930548,134.0,983.0
0.0639929992,136.0,992.0
0.0644929437,134.0,978.0
0.0649928881,136.0,967.0
0.0654928325,136.0,973.0
0.065992777,136.0,972.0
0.0664927214,136.0,986.0
0.0669926659,136.0,1009.0
0.0674926103,136.0,1018.0
0.0679925547,138.0,1041.0
0.0684924992,136.0,1063.0
0.0689924436,136.0,1050.0
0.069492388,140.0,1045.0
0.0699923325,138.0,1051.0
0.0704922769,138.0,1053.0
0.0709922214,140.0,1052.0
0.0714921658,140.0,1033.0
