time,temperature value,current value
0.001,106.0,1.0
0.0014999444,104.0,1.0
0.0019998889,104.0,5.0
0.0024998333,104.0,7.0
0.0029997778,104.0,8.0
0.0034997222,104.0,14.0
0.0039996666,106.0,24.0
0.0044996111,104.0,26.0
0.0049995555,104.0,40.0
0.0054994999,104.0,54.0
0.0059994444,104.0,55.0
0.0064993888,104.0,63.0
0.0069993333,104.0,76.0
0.0074992777,104.0,81.0
0.0079992221,106.0,87.0
0.0084991666,106.0,92.0
0.008999111,102.0,103.0
0.0094990555,106.0,117.0
0.0099989999,106.0,126.0
0.0104989443,104.0,136.0
0.0109988888,106.0,146.0
0.0114988332,106.0,155.0
0.0119987776,102.0,159.0
0.0124987221,104.0,173.0
0.0129986665,104.0,194.0
0.013498611,104.0,211.0
0.0139985554,104.0,227.0
0.0144984998,104.0,245.0
0.0149984443,104.0,261.0
0.0154983887,104.0,275.0
0.0159983331,102.0,290.0
0.0164982776,106.0,316.0
0.016998222,106.0,354.0
0.0174981665,104.0,365.0
0.0179981109,108.0,363.0
0.0184980553,108.0,373.0
0.0189979998,104.0,376.0
0.0194979442,106.0,379.0
0.0199978887,106.0,393.0
0.0204978331,104.0,402.0
0.0209977775,106.0,414.0
0.021497722,104.0,429.0
0.0219976664,104.0,443.0
0.0224976108,104.0,457.0
0.0229975553,104.0,471.0
0.0234974997,106.0,490.0
0.0239974442,106.0,516.0
0.0244973886,104.0,536.0
0.024997333,106.0,554.0
0.0254972775,106.0,580.0
0.0259972219,104.0,586.0
0.0264971664,108.0,599.0
0.0269971108,106.0,611.0
0.0274970552,104.0,604.0
0.0279969997,106.0,613.0
0.0284969441,106.0,624.0
0.0289968885,104.0,637.0
0.029496833,106.0,650.0
0.0299967774,104.0,662.0
0.0304967219,106.0,674.0
0.0309966663,106.0,687.0
0.0314966107,104.0,705.0
0.0319965552,106.0,704.0
0.0324964996,106.0,713.0
0.032996444,106.0,726.0
0.0334963885,108.0,744.0
0.0339963329,106.0,766.0
0.0344962774,106.0,788.0
0.0349962218,108.0,806.0
0.0354961662,106.0,798.0
0.0359961107,104.0,794.0
0.0364960551,108.0,803.0
0.0369959996,106.0,812.0
0.037495944,106.0,823.0
0.0379958884,108.0,832.0
0.0384958329,106.0,844.0
0.0389957773,108.0,847.0
0.0394957217,108.0,853.0
0.0399956662,108.0,866.0
0.0404956106,108.0,873.0
0.0409955551,108.0,872.0
0.0414954995,108.0,867.0
0.0419954439,109.0,877.0
0.0424953884,108.0,875.0
0.0429953328,106.0,888.0
0.0434952773,108.0,911.0
0.0439952217,108.0,938.0
0.0444951661,106.0,963.0
0.0449951106,108.0,969.0
0.045495055,106.0,978.0
0.0459949994,108.0,989.0
0.0464949439,109.0,998.0
0.0469948883,109.0,1005.0
0.0474948328,108.0,1002.0
0.0479947772,108.0,1009.0
0.0484947216,108.0,1015.0
0.0489946661,109.0,1022.0
0.0494946105,108.0,1029.0
0.049994555,108.0,1016.0
0.0504944994,109.0,1009.0
0.0509944438,109.0,1014.0
0.0514943883,108.0,1016.0
0.0519943327,111.0,1023.0
0.0524942771,108.0,1024.0
0.0529942216,109.0,1037.0
0.053494166,111.0,1067.0
0.0539941105,109.0,1091.0
0.0544940549,111.0,1108.0
0.0549939993,111.0,1115.0
0.0554939438,111.0,1119.0
0.0559938882,111.0,1129.0
0.0564938326,109.0,1124.0
0.0569937771,111.0,1116.0
0.0574937215,113.0,1109.0
0.057993666,111.0,1107.0
0.0584936104,111.0,1116.0
0.0589935548,113.0,1117.0
0.0594934993,113.0,1115.0
0.0599934437,113.0,1095.0
0.0604933882,115.0,1095.0
0.0609933326,113.0,1092.0
0.061493277,113.0,1070.0
0.0619932215,115.0,1070.0
0.0624931659,115.0,1070.0
0.0629931103,115.0,1072.0
0.0634930548,115.0,1106.0
0.0639929992,115.0,1125.0
0.0644929437,115.0,1142.0
0.0649928881,115.0,1161.0
0.0654928325,115.0,1167.0
0.065992777,117.0,1175.0
0.0664927214,117.0,1160.0
0.0669926659,117.0,1147.0
0.0674926103,119.0,1148.0
0.0679925547,117.0,1131.0
0.0684924992,117.0,1119.0
0.0689924436,119.0,1121.0
0.069492388,119.0,1121.0
0.0699923325,119.0,1119.0
0.0704922769,119.0,1099.0
0.0709922214,119.0,1091.0
0.0714921658,119.0,1079.0
0.0719921102,119.0,1070.0
0.0724920547,120.0,1073.0
0.0729919991,122.0,1092.0
0.0734919435,120.0,1108.0
0.073991888,122.0,1128.0
0.0744918324,124.0,1163.0
0.0749917769,122.0,1176.0
0.0754917213,122.0,1175.0
0.0759916657,124.0,1167.0
0.0764916102,124.0,1156.0
0.0769915546,124.0,1148.0
0.0774914991,126.0,1129.0
0.0779914435,124.0,1109.0
0.0784913879,126.0,1097.0
0.0789913324,126.0,1095.0
0.0794912768,128.0,1094.0
0.0799912212,129.0,1074.0
0.0804911657,128.0,1064.0
0.0809911101,128.0,1055.0
0.0814910546,129.0,1038.0
0.081990999,128.0,1026.0
0.0824909434,128.0,1023.0
0.0829908879,129.0,1019.0
0.0834908323,128.0,1042.0
0.0839907768,128.0,1074.0
0.0844907212,129.0,1095.0
0.0849906656,129.0,1116.0
0.0854906101,129.0,1118.0
0.0859905545,129.0,1118.0
0.0864904989,131.0,1124.0
0.0869904434,133.0,1113.0
0.0874903878,133.0,1106.0
0.0879903323,135.0,1100.0
0.0884902767,136.0,1084.0
0.0889902211,135.0,1062.0
0.0894901656,135.0,1049.0
0.08999011,138.0,1033.0
0.0904900545,136.0,1015.0
0.0909899989,136.0,998.0
0.0914899433,138.0,978.0
0.0919898878,138.0,969.0
0.0924898322,140.0,954.0
0.0929897766,138.0,954.0
0.0934897211,140.0,971.0
0.0939896655,142.0,985.0
0.09448961,140.0,1003.0
0.0949895544,142.0,1017.0
0.0954894988,145.0,1010.0
0.0959894433,144.0,1000.0
0.0964893877,144.0,997.0
